model,contrast,region,expect,x,y,z,t,p,k,level,source
glm2_all_runs,first_stimxqval,striatum_bartra,survives,-15,9,2,4.19,0.007,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,first_stimxqval,striatum_bartra,survives,6,6,-4,4.12,0.016,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,first_stimxqval,vmpfc_bartra,none,,,,,,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,second_stimxqval,striatum_bartra,none,,,,,,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,second_stimxqval,vmpfc_bartra,none,,,,,,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,first_stimxhval,guida,none,,,,,,,cluster,"manuscript: no CK effects at first stimulus in any habit ROI"
glm2_all_runs,first_stimxhval,parietal_aal,none,,,,,,,cluster,"manuscript: no CK effects at first stimulus in any habit ROI"
glm2_all_runs,first_stimxhval,motor_hmat,none,,,,,,,cluster,"manuscript: no CK effects at first stimulus in any habit ROI"
glm2_all_runs,second_stimxhval,guida,survives,-30,-12,2,4.23,0.03,,cluster,"manuscript, Results, Pre-registered GLM"
glm2_all_runs,second_stimxhval,parietal_aal,none,,,,,,,cluster,"manuscript: no CK effects in parietal, motor or premotor ROIs"
glm2_all_runs,second_stimxhval,motor_hmat,none,,,,,,,cluster,"manuscript: no CK effects in parietal, motor or premotor ROIs"
glm2_all_runs,second_stimxhval,m1_hmat,survives,,,,,,,cluster,"vault GLM2, Motor mask SVC (2026-04-30): M1 survives"
glm2_all_runs,second_stimxhval,premotor_hmat,none,,,,,,,cluster,"vault GLM2, Motor mask SVC (2026-04-30): premotor does not survive"
glm2_all_runs,qval_sum,striatum_bartra,survives,,,,4.8,,,cluster,"vault GLM2, OHBM 2026 section"
glm2_chosen_all_runs,second_stimxqval_chosen,striatum_bartra,survives,9,9,-4,4.99,0.004,,cluster,"manuscript, Results, Chosen-Value Model"
glm2_chosen_all_runs,second_stimxqval_chosen,striatum_bartra,survives,-9,15,-1,4.86,0.001,,cluster,"manuscript, Results, Chosen-Value Model"
glm2_chosen_all_runs,second_stimxqval_chosen,vmpfc_bartra,none,,,,,,,cluster,"manuscript, Results, Chosen-Value Model"
glm2_chosen_all_runs,second_stimxhval_chosen,guida,survives,27,6,6,4.92,0.009,,cluster,"manuscript, Results, Chosen-Value Model"
glm2_chosen_all_runs,second_stimxhval_chosen,guida,survives,-27,6,2,4.56,0.001,,cluster,"manuscript, Results, Chosen-Value Model"
glm2_chosen_all_runs,second_stimxhval_chosen,motor_hmat,survives,48,-6,20,4.80,0.016,,cluster,"manuscript, Results, Chosen-Value Model (motor and premotor)"
glm2_chosen_all_runs,second_stimxhval_chosen,premotor_hmat,survives,48,-6,20,,,,cluster,"vault GLM2 chosen, Motor mask SVC (2026-04-30): premotor survives"
glm2_chosen_all_runs,second_stimxhval_chosen,parietal_aal,none,,,,,,,cluster,"vault GLM2 chosen, OHBM 2026: no parietal"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,striatum_bartra,none,,,,,,,cluster,"vault GLM3 (2026-04-02): nothing in ventral striatum"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,vmpfc_bartra,none,,,,,,,cluster,"vault GLM3 (2026-04-02): nothing in vmPFC"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,guida,survives,,,,,,,cluster,"vault GLM3 (2026-04-02): bilateral clusters in putamen/Guida"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,parietal_aal,survives,,,,,,,cluster,"vault GLM3 (2026-04-02): bilateral clusters in parietal"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,24,-57,-25.5,5.62,,228,cluster,"vault GLM3 whole-brain table (2026-05-05), cerebellum"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,-30,-18,-1,5.52,,124,cluster,"vault GLM3 whole-brain table (2026-05-05), left putamen"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,-33,-45,69,5.39,,99,cluster,"vault GLM3 whole-brain table (2026-05-05), postcentral"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,39,-6,-25.5,5.12,,87,cluster,"vault GLM3 whole-brain table (2026-05-05), right putamen"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,3,-51,69,4.98,,82,cluster,"vault GLM3 whole-brain table (2026-05-05), postcentral"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,-30,-42,-25.5,5.31,,80,cluster,"vault GLM3 whole-brain table (2026-05-05), cerebellum"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,21,-90,6,4.33,,46,cluster,"vault GLM3 whole-brain table (2026-05-05), occipital"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,21,30,-1,4.46,,41,cluster,"vault GLM3 whole-brain table (2026-05-05), WM"
glm3_chosen_choice_var,second_stimxchoiceval_chosen,wholebrain,survives,18,6,23.5,4.31,,39,cluster,"vault GLM3 whole-brain table (2026-05-05), WM"
glm2_mf_val,second_stimxchosenval,vmpfc_bartra,survives,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): few voxels survive SVC in vmPFC"
glm2_mf_val,second_stimxchosenval,striatum_bartra,survives,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): few voxels survive SVC in ventral striatum"
glm2_mf_frequ,second_stimxchosenfrequ,guida,none,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): nothing in Frequ model"
glm2_mf_frequ,second_stimxchosenfrequ,parietal_aal,none,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): nothing in Frequ model"
glm2_mf_frequ,second_stimxchosenfrequ,motor_hmat,none,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): nothing in Frequ model"
glm2_mf_frequ,second_stimxchosenfrequ,wholebrain,none,,,,,,,cluster,"vault Model-free GLMs (2026-06-26): nothing in Frequ model"
